mes_ref,indice,inicio_coleta,fim_coleta,data_divulgacao
2012-01,ipca15,2011-12-14,2012-01-13,2012-01-24
2012-02,ipca15,2012-01-14,2012-02-10,2012-02-17
2012-03,ipca15,2012-02-11,2012-03-14,2012-03-22
2012-04,ipca15,2012-03-15,2012-04-13,2012-04-24
2012-05,ipca15,2012-04-14,2012-05-14,2012-05-22
2012-06,ipca15,2012-05-15,2012-06-13,2012-06-21
2012-07,ipca15,2012-06-14,2012-07-13,2012-07-20
2012-08,ipca15,2012-07-14,2012-08-13,2012-08-22
2012-09,ipca15,2012-08-14,2012-09-12,2012-09-20
2012-10,ipca15,2012-09-13,2012-10-11,2012-10-19
2012-11,ipca15,2012-10-12,2012-11-13,2012-11-22
2012-12,ipca15,2012-11-14,2012-12-11,2012-12-19
2012-01,ipca/inpc,2011-12-29,2012-01-27,2012-02-10
2012-02,ipca/inpc,2012-01-28,2012-02-29,2012-03-09
2012-03,ipca/inpc,2012-03-01,2012-03-28,2012-04-05
2012-04,ipca/inpc,2012-03-29,2012-04-27,2012-05-09
2012-05,ipca/inpc,2012-04-28,2012-05-28,2012-06-06
2012-06,ipca/inpc,2012-05-29,2012-06-28,2012-07-06
2012-07,ipca/inpc,2012-06-29,2012-07-27,2012-08-08
2012-08,ipca/inpc,2012-07-28,2012-08-27,2012-09-05
2012-09,ipca/inpc,2012-08-28,2012-09-27,2012-10-05
2012-10,ipca/inpc,2012-09-28,2012-10-29,2012-11-07
2012-11,ipca/inpc,2012-10-30,2012-11-28,2012-12-07
2012-12,ipca/inpc,2012-11-29,2012-12-28,2013-01-10
2013-01,ipca15,2012-12-12,2013-01-15,2013-01-23
2013-02,ipca15,2013-01-16,2013-02-14,2013-02-22
2013-03,ipca15,2013-02-15,2013-03-14,2013-03-22
2013-04,ipca15,2013-03-15,2013-04-12,2013-04-19
2013-05,ipca15,2013-04-13,2013-05-14,2013-05-22
2013-06,ipca15,2013-05-15,2013-06-13,2013-06-21
2013-07,ipca15,2013-06-14,2013-07-12,2013-07-19
2013-08,ipca15,2013-07-13,2013-08-13,2013-08-21
2013-09,ipca15,2013-08-14,2013-09-12,2013-09-20
2013-10,ipca15,2013-09-13,2013-10-11,2013-10-18
2013-11,ipca15,2013-10-12,2013-11-11,2013-11-19
2013-12,ipca15,2013-11-12,2013-12-12,2013-12-19
2013-01,ipca/inpc,2012-12-29,2013-01-29,2013-02-07
2013-02,ipca/inpc,2013-01-30,2013-02-27,2013-03-08
2013-03,ipca/inpc,2013-02-28,2013-03-28,2013-04-10
2013-04,ipca/inpc,2013-03-29,2013-04-26,2013-05-08
