item;codigo;item_ipca
ABACATE ;1106004;Abacate
ABACAXI ;1106003;Abacaxi
ABÓBORA ;;
ABOBRINHA ;1103020;Abobrinha
ALFACE ;1105001;Alface
ALHO ;1116010;Alho
BANANA-NANICA ;;
BANANA-PRATA ;1106008;Banana - prata
BATATA ;1103003;Batata-inglesa
BATATA-DOCE ;1103002;Batata-doce
BERINJELA ;;
BETERRABA ;;
BRÓCOLOS ;1105019;Brócolis
CARÁ ;;
CEBOLA ;1103043;Cebola
CENOURA ;1103044;Cenoura
CHUCHU ;;
COCO VERDE ;;
COUVE ;1105005;Couve
COUVE-FLOR ;1105006;Couve-flor
GOIABA ;1106084;Goiaba
INHAME ;1103004;Inhame
JILÓ ;;
LARANJA PÊRA ;1106039;Laranja - pera
LIMÃO TAITI ;1106015;Limão
MAÇÃ NACIONAL ;1106017;Maçã
MAMÃO FORMOSA ;1106018;Mamão
MAMÃO HAVAÍ ;;
MANDIOCA / AIPIM ;1103005;Mandioca (aipim)
MANDIOQUINHA ;;
MANGA ;1106019;Manga
MARACUJÁ AZEDO ;1106020;Maracujá
MELANCIA ;1106021;Melancia
MELÃO AMARELO ;1106022;Melão
MILHO VERDE ;;
MORANGO ;1106051;Morango
OVO ;1110044;Ovo de galinha
PEPINO ;1103025;Pepino
PÊRA ESTRANGEIRA ;1106023;Pera
PIMENTÃO VERDE ;1103026;Pimentão
QUIABO ;;
REPOLHO ;1105010;Repolho
TANGERINA ;1106027;Tangerina
TOMATE ;1103028;Tomate
UVA ITÁLIA ;1106028;Uva
UVA NIAGARA ;;
UVA RUBI ;;
VAGEM ;;
