Item;Código;Descrição;Len;Livres;Alimentos;Alimentos in natura;Alimentos semi-elaborados;Alimentos industrializados;Serviços;Serviços - Subjacente;Serviços - Ex-Subjacente;Duráveis;Semi-duráveis;Não duráveis;Monitorados;Não comercializáveis;Comercializáveis;Núcleo EX0;Núcleo EX1;Núcleo EX2;Núcleo EX3;Bens Industriais;Ex AD e Monitorados;Subjacentes Ex AF;Sensíveis ao Ciclo;Bens Industriais Ex Vestuario e Auto;Combustíveis;Monitorados Ex Combustíveis;Automóveis;Sticky-prices
Índice geral;0;Índice geral;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.Alimentação e bebidas;1;Alimentação e bebidas;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
11.Alimentação no domicílio;11;Alimentação no domicílio;2;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1101.Cereais, leguminosas e oleaginosas;1101;Cereais, leguminosas e oleaginosas;4;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1101002.Arroz;1101002;Arroz;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1101051.Feijão - mulatinho;1101051;Feijão - mulatinho;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1101052.Feijão - preto;1101052;Feijão - preto;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1101053.Feijão - macáçar (fradinho);1101053;Feijão - macáçar (fradinho);7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1101073.Feijão - carioca (rajado);1101073;Feijão - carioca (rajado);7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1101079.Milho (em grão);1101079;Milho (em grão);7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1102.Farinhas, féculas e massas;1102;Farinhas, féculas e massas;4;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102001.Farinha de arroz;1102001;Farinha de arroz;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102006.Macarrão;1102006;Macarrão;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102008.Fubá de milho;1102008;Fubá de milho;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102010.Flocos de milho;1102010;Flocos de milho;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0
1102012.Farinha de trigo;1102012;Farinha de trigo;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102023.Farinha de mandioca;1102023;Farinha de mandioca;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0
1102029.Massa semipreparada;1102029;Massa semipreparada;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1102061.Macarrão instantâneo;1102061;Macarrão instantâneo;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
1103.Tubérculos, raízes e legumes;1103;Tubérculos, raízes e legumes;4;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103002.Batata-doce;1103002;Batata-doce;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103003.Batata-inglesa;1103003;Batata-inglesa;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103004.Inhame;1103004;Inhame;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103005.Mandioca (aipim);1103005;Mandioca (aipim);7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103020.Abobrinha;1103020;Abobrinha;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1103025.Pepino;1103025;Pepino;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
