data;codigo;var_mensal;var_mensal_15
01/02/2010;0;0.78;0.94
01/03/2010;0;-0.97;-2.39
01/04/2010;0;-3.52;-1.55
01/05/2010;0;;
01/06/2010;0;-0.21;-0.05
01/07/2010;0;2.47;1.28
01/08/2010;0;-0.27;0.69
01/09/2010;0;10.24;33.23
01/10/2010;0;4.32;1.27
01/11/2010;0;-12.57;-9.95
01/12/2010;0;2.24;2.19
01/01/2011;0;3.48;4.21
01/02/2011;0;1.59;0.69
01/03/2011;0;-0.18;1.94
01/04/2011;0;4.64;5.94
01/05/2011;0;3.18;1.67
01/06/2011;0;-0.98;-0.01
01/07/2011;0;7.03;4.66
01/08/2011;0;28.94;11.32
01/09/2011;0;-1.39;-3.62
01/10/2011;0;1.43;2.42
01/11/2011;0;-1.23;-0.28
01/12/2011;0;-0.22;1.14
01/01/2012;0;3.08;1.09
01/02/2012;0;1.94;-2.03
01/03/2012;0;-0.91;-3.06
01/04/2012;0;-2.44;-2.95
01/05/2012;0;-0.49;0.23
01/06/2012;0;11.32;
01/07/2012;0;6.59;2.99
01/08/2012;0;-3.79;
01/09/2012;0;0.27;1.82
01/10/2012;0;;
01/11/2012;0;;
01/12/2012;0;;
01/01/2013;0;;
01/02/2013;0;1.77;0.77
01/03/2013;0;1.23;-1.59
01/04/2013;0;2.87;0.54
01/05/2013;0;0.01;-0.06
01/06/2013;0;2.33;0.29
01/07/2013;0;-0.64;0.74
01/08/2013;0;0.96;1.13
01/09/2013;0;-1.27;-0.06
01/10/2013;0;0.38;0.15
01/11/2013;0;1.69;1.87
01/12/2013;0;-14.62;-11.51
01/01/2014;0;0.13;-0.17
01/02/2014;0;0.17;0.65
01/03/2014;0;1.3;1.97
01/04/2014;0;0.43;-0.79
01/05/2014;0;-2.36;0.26
01/06/2014;0;-0.24;0.4
01/07/2014;0;0.43;2.64
01/08/2014;0;0.69;-0.94
01/09/2014;0;0.26;-0.28
01/10/2014;0;0.95;0.49
01/11/2014;0;1.23;0.87
01/12/2014;0;-0.4;0.43
01/01/2015;0;0.9;0.93
01/02/2015;0;0.6;0.46
