data,codigo,var_mensal,var_mensal_15
2010-02-01,0,0.78,0.94
2010-03-01,0,0.52,0.55
2010-04-01,0,0.57,0.48
2010-05-01,0,0.43,0.63
2010-06-01,0,,0.19
2010-07-01,0,0.01,-0.09
2010-08-01,0,0.04,-0.05
2010-09-01,0,0.45,0.31
2010-10-01,0,0.75,0.62
2010-11-01,0,0.83,0.86
2010-12-01,0,0.63,0.69
2011-01-01,0,0.83,0.76
2011-02-01,0,0.8,0.97
2011-03-01,0,0.79,0.6
2011-04-01,0,0.77,0.77
2011-05-01,0,0.47,0.7
2011-06-01,0,0.15,0.23
2011-07-01,0,0.16,0.1
2011-08-01,0,0.37,0.27
2011-09-01,0,0.53,0.53
2011-10-01,0,0.43,0.42
2011-11-01,0,0.52,0.46
2011-12-01,0,0.5,0.56
2012-01-01,0,0.56,0.65
2012-02-01,0,0.45,0.53
2012-03-01,0,0.21,0.25
2012-04-01,0,0.64,0.43
2012-05-01,0,0.36,0.51
2012-06-01,0,0.08,0.18
2012-07-01,0,0.43,0.33
2012-08-01,0,0.41,0.39
2012-09-01,0,0.57,0.48
2012-10-01,0,0.59,0.65
2012-11-01,0,0.6,0.54
2012-12-01,0,0.79,0.69
2013-01-01,0,0.86,0.88
2013-02-01,0,0.6,0.68
2013-03-01,0,0.47,0.49
2013-04-01,0,0.55,0.51
2013-05-01,0,0.37,0.46
2013-06-01,0,0.26,0.38
2013-07-01,0,0.03,0.07
2013-08-01,0,0.24,0.16
2013-09-01,0,0.35,0.27
2013-10-01,0,0.57,0.48
2013-11-01,0,0.54,0.57
2013-12-01,0,0.92,0.75
2014-01-01,0,0.55,0.67
2014-02-01,0,0.69,0.7
2014-03-01,0,0.92,0.73
2014-04-01,0,0.67,0.78
2014-05-01,0,0.46,0.58
2014-06-01,0,0.4,0.47
2014-07-01,0,0.01,0.17
2014-08-01,0,0.25,0.14
2014-09-01,0,0.57,0.39
2014-10-01,0,0.42,0.48
2014-11-01,0,0.51,0.38
2014-12-01,0,0.78,0.79
2015-01-01,0,1.24,0.89
2015-02-01,0,1.22,1.33
2015-03-01,0,1.32,1.24
2015-04-01,0,0.71,1.07
2015-05-01,0,0.74,0.6
2015-06-01,0,0.79,0.99
2015-07-01,0,0.62,0.59
2015-08-01,0,0.22,0.43
2015-09-01,0,0.54,0.39
2015-10-01,0,0.82,0.66
2015-11-01,0,1.01,0.85
2015-12-01,0,0.96,1.18
2016-01-01,0,1.27,0.92
2016-02-01,0,0.9,1.42
2016-03-01,0,0.43,0.43
2016-04-01,0,0.61,0.51
2016-05-01,0,0.78,0.86
2016-06-01,0,0.35,0.4
2016-07-01,0,0.52,0.54
2016-08-01,0,0.44,0.45
2016-09-01,0,0.08,0.23
2016-10-01,0,0.26,0.19
2016-11-01,0,0.18,0.26
2016-12-01,0,0.3,0.19
2017-01-01,0,0.38,0.31
2017-02-01,0,0.33,0.54
2017-03-01,0,0.25,0.15
2017-04-01,0,0.14,0.21
2017-05-01,0,0.31,0.24
2017-06-01,0,-0.23,0.16
2017-07-01,0,0.24,-0.18
2017-08-01,0,0.19,0.35
2017-09-01,0,0.16,0.11
2017-10-01,0,0.42,0.34
2017-11-01,0,0.28,0.32
2017-12-01,0,0.44,0.35
2018-01-01,0,0.29,0.39
2018-02-01,0,0.32,0.38
2018-03-01,0,0.09,0.1
2018-04-01,0,0.22,0.21
2018-05-01,0,0.4,0.14
2018-06-01,0,1.26,1.11
2018-07-01,0,0.33,0.64
2018-08-01,0,-0.09,0.13
2018-09-01,0,0.48,0.09
2018-10-01,0,0.45,0.58
2018-11-01,0,-0.21,0.19
2018-12-01,0,0.15,-0.16
2019-01-01,0,0.32,0.3
2019-02-01,0,0.43,0.34
2019-03-01,0,0.75,0.54
2019-04-01,0,0.57,0.72
2019-05-01,0,0.13,0.35
2019-06-01,0,0.01,0.06
2019-07-01,0,0.19,0.09
2019-08-01,0,0.11,0.08
2019-09-01,0,-0.04,0.09
2019-10-01,0,0.1,0.09
2019-11-01,0,0.51,0.14
2019-12-01,0,1.15,1.05
2020-01-01,0,0.21,0.71
2020-02-01,0,0.25,0.22
2020-03-01,0,0.07,0.02
2020-04-01,0,-0.31,-0.01
2020-05-01,0,-0.38,-0.59
2020-06-01,0,0.26,0.02
2020-07-01,0,0.36,0.3
2020-08-01,0,0.24,0.23
2020-09-01,0,0.64,0.45
2020-10-01,0,0.86,0.94
2020-11-01,0,0.89,0.81
2020-12-01,0,1.35,1.06
2021-01-01,0,0.25,0.78
2021-02-01,0,0.86,0.48
2021-03-01,0,0.93,0.93
2021-04-01,0,0.31,0.6
2021-05-01,0,0.83,0.44
2021-06-01,0,0.53,0.83
2021-07-01,0,0.96,0.72
2021-08-01,0,0.87,0.89
2021-09-01,0,1.16,1.14
2021-10-01,0,1.25,1.2
2021-11-01,0,0.95,1.17
2021-12-01,0,0.73,0.78
2010-02-01,1,0.96,0.98
2010-03-01,1,1.55,1.22
2010-04-01,1,1.45,1.71
2010-05-01,1,0.28,1
2010-06-01,1,-0.9,-0.42
2010-07-01,1,-0.76,-0.8
2010-08-01,1,-0.24,-0.68
2010-09-01,1,1.08,0.3
2010-10-01,1,1.89,1.7
2010-11-01,1,2.22,2.11
2010-12-01,1,1.32,1.84
2011-01-01,1,1.16,1.21
2011-02-01,1,0.23,0.57
2011-03-01,1,0.75,0.46
2011-04-01,1,0.58,0.79
2011-05-01,1,0.63,0.54
2011-06-01,1,-0.26,0.11
2011-07-01,1,-0.34,-0.39
2011-08-01,1,0.72,0.21
2011-09-01,1,0.64,0.72
2011-10-01,1,0.56,0.52
2011-11-01,1,1.08,0.77
2011-12-01,1,1.23,1.28
2012-01-01,1,0.86,1.25
2012-02-01,1,0.19,0.29
2012-03-01,1,0.25,0.22
2012-04-01,1,0.51,0.31
2012-05-01,1,0.73,0.62
2012-06-01,1,0.68,0.66
2012-07-01,1,0.91,0.88
2012-08-01,1,0.88,0.76
2012-09-01,1,1.26,1.08
2012-10-01,1,1.36,1.56
2012-11-01,1,0.79,0.83
2012-12-01,1,1.03,0.97
2013-01-01,1,1.99,1.45
2013-02-01,1,1.45,1.74
2013-03-01,1,1.14,1.4
2013-04-01,1,0.96,1
2013-05-01,1,0.31,0.47
2013-06-01,1,0.04,0.27
2013-07-01,1,-0.33,-0.18
2013-08-01,1,0.01,-0.09
2013-09-01,1,0.14,0.04
2013-10-01,1,1.03,0.7
